street_address,sale_price,mls_number,County,City,Subdivision,home_type,Floor_Plan,Bedrooms,Full_Baths,Half_Baths,Yr_Blt,Above_Grade_Finished_SF,Above_Grade_Finished_Source,Below_Grade_Finished_SF,Below_Grade_Finished_Source,Lot_Size,District,Fr_Pl,Fireplace,Bsmnt?,Bsmnt,Garage/Parking?,Construct,Arc_Style,Roof_desc,Lot_Desc,Floodpl,City_Limits,Cent air,Heating,Cooling,Water,Sewer,Warranty
"2104 Alexandria Lane Pleasant Hill, MO 64080",360000,2227416,Cass,Pleasant Hill,Hickory Hills,Single Family,"Ranch, Reverse 1.5 Story",4,3,1,2010,2000,Public Record,1000,Other,0.46,Pleasant Hill,1,Family Room,1,"Daylight, Inside Entrance, Walk Out",1,Stone & Frame,Traditional,Composition,,0,1,1,"Forced Air Gas, Heat Pump",Central Electric,City/Public,City/Public,
"19909 S Countrybrook Lane Peculiar, MO 64078",360000,2217897,Cass,Peculiar,Briarwood Acres,Single Family,2 Stories,4,3,1,1989,2134,Public Record,0,Public Record,3,Raymore-Peculiar,1,"Living Room, Master Bedroom, Wood Burning, Wood Burn Stove",1,"Full, Walk Out",1,"Frame, Vinyl Siding",Traditional,Composition,"Acreage, Pond(s), Treed",0,0,1,"Propane Gas, Wood",Central Electric,City/Public,Septic,
"1701 Knoll Creek Lane Raymore, MO 64083",360000,2204130,Cass,Raymore,Estates at Knoll Creek,Single Family,Split Entry,4,3,0,2006,3100,Public Record,0,Public Record,0.508264462809917,Raymore-Peculiar,1,"Great Room, Hearth Room, Kitchen",1,"Concrete, Finished",1,"Frame, Stucco",Traditional,Composition,City Limits,0,0,1,Heatpump/Gas,Central Electric,City/Public,City/Public,
"207 N Eastglen Drive Raymore, MO 64083",360000,2186223,Cass,Raymore,Eagle Glen,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1643,Builder,996,Builder,0.213774104683196,Raymore-Peculiar,1,Great Room,1,"Daylight, Egress Window, Finished",1,"Lap, Stucco",Traditional,Composition,"City Limits, City Lot, Level",0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"29204 E 158th Street Pleasant Hill, MO 64080",360000,2202246,Cass,Pleasant Hill,Enclaves,Single Family,Ranch,4,2,1,2018,1998,Owner,0,Owner,3,Pleasant Hill,0,,1,"Concrete, Full, Not Finished",1,Wood Siding,Traditional,Composition,Acreage,0,0,1,"Heat Pump, Propane Gas",Central Electric,City/Public,Septic,
"1705 Remington Street Pleasant Hill, MO 64080",360000,2175294,Cass,Pleasant Hill,Hunters Ridge,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,1990,2398,Public Record,1918,Public Record,0.402892561983471,Pleasant Hill,1,Living Room,1,"Finished, Full, Partial",1,"Brick Trim, Wood Siding",Traditional,Composition,,0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"20015 S State Route 7 Highway Pleasant Hill, MO 64080",360000,2165085,Cass,Pleasant Hill,Other,Single Family,Ranch,3,3,0,2001,2597,Appraisal,0,Appraisal,6,Pleasant Hill,0,,1,Full,1,Stucco,Traditional,Composition,"Acreage, Level, Treed",0,0,1,"Heat Pump, Propane Gas",Heat Pump,City/Public,Septic,
"905 SW Olympia Court Lee's Summit, MO 64082",360000,2198837,Cass,Lees Summit,Fountains at Raintree,Single Family,Ranch,3,3,0,2012,1888,Public Record,1888,Public Record,0.194398530762167,Raymore-Peculiar,1,Living Room,1,"Finished, Full, Walk Out",1,"Frame, Vinyl Siding",Traditional,Composition,"City Limits, Cul-De-Sac",0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"304 SW Green Teal Street Lee's Summit, MO 64082",360000,2180425,Cass,Lees Summit,Raintree Lake,Single Family,1.5 Stories,5,2,1,1987,2334,Other,0,Other,0.272451790633609,Raymore-Peculiar,1,"Heat Circulator, Living Room, Master Bedroom",1,"Concrete, Full",1,Vinyl Siding,Traditional,Composition,"City Lot, Treed",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"27719 S Belle Plain Road Harrisonville, MO 64701",361000,2197022,Cass,Harrisonville,Harrisonville,Single Family,1.5 Stories,4,2,1,2000,2030,Appraisal,0,Appraisal,15,Harrisonville,1,Living Room,1,"Full, Inside Entrance",1,Wood Siding,,Composition,Acreage,0,0,1,"Central Gas, Heatpump/Gas",Heat Pump,Rural - Verify,Septic,
"303 Sugarland Drive Pleasant Hill, MO 64080",361500,2198352,Cass,Pleasant Hill,Sugarland Estates,Single Family,2 Stories,4,3,2,1994,3109,Public Record,1441,Public Record,0.815426997245179,Pleasant Hill,1,"Gas Starter, Great Room, Hearth Room, Living Room, Master Bedroom",1,"Concrete, Finished, Full",1,"Stucco, Synthetic Stucco",A-Frame,Composition,"Acreage, Treed",0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"24600 E 227th Street Harrisonville, MO 64701",361600,2212898,Cass,Harrisonville,Other,Single Family,1.5 Stories,4,3,1,1979,2660,Agent,500,Agent,12,Pleasant Hill,1,"Basement, Living Room",1,Finished,1,"Brick Trim, Vinyl Siding",Traditional,Composition,Acreage,0,0,1,Heat Pump,Central Electric,Rural,Septic,
"604 Horizon Parkway Raymore, MO 64083",363000,2164116,Cass,Raymore,Sky Vue East,Single Family,1.5 Stories,4,3,1,2002,2439,Public Record,1117,Public Record,1.00550964187328,Raymore-Peculiar,1,"Gas, Great Room",1,"Finished, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,"Acreage, Adjoin Greenspace, City Limits",0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"27013 S Brickplant Road Harrisonville, MO 64701",363000,2217649,Cass,Harrisonville,Other,Single Family,1.5 Stories,4,3,2,2005,1920,Public Record,500,Other,0.5,Harrisonville,1,"Gas, Gas Starter, Living Room",1,"Egress Window, Full, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,Acreage,0,-1,1,"Central Electric, Heat Pump","Central Electric, Heat Pump",City/Public,"Lagoon, Septic",
"402 Fairway Road Belton, MO 64012",363400,2214677,Cass,Belton,Fairway Ridge Estates,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2020,1673,Builder,1200,Builder,0.262258953168044,Belton,1,"Gas, Great Room",1,"Finished, Walk Out",1,"Stone Trim, Stucco & Frame",Traditional,Composition,City Limits,0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"1616 March Lane Raymore, MO 64083",364660,2187818,Cass,Raymore,Creekmoor - Cunningham,Single Family,2 Stories,4,2,1,2019,2277,Plans,0,Plans,0.2277318640955,Raymore-Peculiar,1,"Gas, Great Room",1,"Daylight, Egress Window, Stubbed for Bath",1,"Lap, Stone Trim",Traditional,Composition,City Limits,0,1,1,"Central Gas, Forced Air Gas",Central Electric,City/Public,City/Public,
"813 Blue Grama Court Raymore, MO 64083",364900,2169405,Cass,Raymore,Meadowood of the Good Ranch,Single Family,Ranch,3,2,0,2019,1828,Plans,0,Agent,0.22,Raymore-Peculiar,1,"Family Room, Gas",1,"Full, Not Finished, Walk Out",1,Frame,Traditional,Composition,"City Limits, City Lot",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"11710 E 229th Street Peculiar, MO 64078",365000,2191540,Cass,Peculiar,Fox's Den,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1400,Builder,1200,Builder,0.229591368227732,Raymore-Peculiar,1,Great Room,1,"Egress Window, Finished, Full",1,"Stucco & Frame, Wood Siding",Traditional,Composition,City Lot,0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"22001 S State Line Road Belton, MO 64012",365000,2196391,Cass,Belton,Santa Fe Farms,Single Family,Ranch,4,3,0,1984,1964,Public Record,1600,Owner,5.83999081726354,Belton,1,"Basement, Gas, Living Room, Master Bedroom",1,"Daylight, Finished, Full",1,Vinyl Siding,Traditional,Composition,"Corner Lot, Estate Lot, Pond(s), Treed",0,-1,1,"Heat Pump, Other",Heat Pump,Rural,Septic,
"1221 Wiltshire Boulevard Raymore, MO 64083",365000,2202355,Cass,Raymore,Creekmoor,Single Family,Reverse 1.5 Story,4,4,0,2007,1923,Public Record,1923,Public Record,0.192676767676768,Raymore-Peculiar,1,Living Room,1,"Finished, Walk Out",1,Other,Traditional,Composition,City Lot,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"18810 S Hickory Grove Road Pleasant Hill, MO 64080",365000,2175632,Cass,Pleasant Hill,Other,Single Family,1.5 Stories,3,3,0,1880,4016,Appraisal,0,Public Record,9.7,Pleasant Hill,1,"Living Room, Wood Burning",0,Slab,1,"Frame, Vinyl Siding",Traditional,Metal,"Acreage, Pond(s), Stream(s), Treed",0,-1,1,"Central Electric, Zoned","Attic Fan, Central Electric",City/Public,"SD Lagoon, Septic",
"253 Winnebago Drive Lake Winnebago, MO 64034",365000,2197871,Cass,Lake Winnebago,Lake Winnebago,Single Family,Split Entry,4,2,1,1970,2042,Public Record,0,Agent,0.34435261707989,Lees Summit,1,Family Room,1,Concrete,1,Frame,Traditional,Composition,City Lot,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"20906 Larkspur Drive Peculiar, MO 64078",365010,2218509,Cass,Peculiar,Olive Branch,Single Family,Ranch,3,2,0,2020,1750,Builder,0,Builder,0.480785123966942,Raymore-Peculiar,1,"Gas, Living Room",1,"Daylight, Full",1,"Stone Trim, Wood Siding",Craftsman,Composition,"Adjoin Greenspace, City Lot",0,1,1,Heat Pump,Heat Pump,City/Public - Verify,City/Public,
"4635 SW Gossamer Lane Lee's Summit, MO 64082",365500,2178775,Cass,Lees Summit,Fountains at Raintree,Single Family,Ranch,4,3,0,2005,1970,Public Record,1450,Owner,0.181818181818182,Raymore-Peculiar,1,"Gas, Great Room",1,"Concrete, Finished, Full",1,"Stucco, Vinyl Siding",Traditional,Composition,City Lot,0,0,1,"Central Gas, Heat Pump","Central Electric, Heat Pump",City/Public,City/Public,
"1810 Buffalo Grass Street Raymore, MO 64083",366000,2162715,Cass,Raymore,Meadowood of the Good Ranch,Single Family,Ranch,3,2,0,2019,1828,Plans,0,Agent,0.210720844811754,Raymore-Peculiar,1,"Family Room, Gas",1,"Full, Not Finished, Walk Out",1,Frame,Traditional,Composition,"City Limits, City Lot",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"834 Switch Grass Court Raymore, MO 64083",368900,2203860,Cass,Raymore,Meadowood of the Good Ranch,Single Family,"Ranch, Reverse 1.5 Story",3,2,0,2020,1590,Plans,0,Plans,0.344536271808999,Raymore-Peculiar,1,"Gas, Great Room",0,Slab,1,"Stone Veneer, Stucco & Frame",Traditional,Composition,"Cul-De-Sac, Level",0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"34301 E 323rd Street Garden City, MO 64747",369000,2223207,Cass,Garden City,Other,Single Family,1.5 Stories,5,3,0,2002,2464,Appraisal,0,Public Record,5,Sherwood,1,Other,1,Finished,1,"Board/Batten, Brick Trim",Traditional,Composition,,0,0,1,"Heat Pump, Propane Gas",Central Electric,City/Public,Septic,
"7303 E 229th Street Peculiar, MO 64078",369000,2216397,Cass,Peculiar,Lakeview Estates,Single Family,1.5 Stories,3,2,1,1991,1486,Public Record,1002,Other,2.50367309458219,Raymore-Peculiar,1,"Heat Circulator, Great Room, Insert",1,"Finished, Inside Entrance",1,"Frame, Stucco",Contemporary,Composition,"Acreage, Lake Front, Wooded",0,-1,1,Heat Pump,Heat Pump,Rural,Septic,
"16101 Louisville Court Belton, MO 64012",369000,2209149,Cass,Belton,Kentucky View,Single Family,2 Stories,4,3,1,2004,2858,Public Record,168,Public Record,0.561730945821855,Belton,1,"Living Room, Study/Library",1,"Not Finished, Stubbed for Bath, Walk Out",1,Stucco & Frame,Traditional,Composition,,0,0,1,Natural Gas,Central Electric,City/Public,City/Public,
"1523 Grandshire Drive Raymore, MO 64083",369490,2209679,Cass,Raymore,Creekmoor - Cunningham,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2020,1504,Builder,927,Builder,0.219536271808999,Raymore-Peculiar,1,"Gas, Great Room",1,"Daylight, Egress Window, Finished",1,"Lap, Stucco",Traditional,Composition,City Lot,0,1,1,"Central Gas, Forced Air Gas",Central Electric,City/Public,City/Public,
"3306 State Route Y Highway Cleveland, MO 64734",369900,2221626,Cass,Cleveland,Other,Single Family,2 Stories,4,4,1,2004,2325,Public Record,360,Agent,3,Cass-Midway,1,"Family Room, Wood Burning",1,"Finished, Full, Walk Up",1,Lap,Traditional,Composition,Acreage,0,0,1,Forced Air Electric,Central Electric,City/Public,Septic,
"1802 Buffalo Grass Drive Raymore, MO 64083",369900,2203706,Cass,Raymore,Meadowood of the Good Ranch,Single Family,Ranch,3,2,0,2020,1816,Plans,0,Plans,0.227548209366391,Raymore-Peculiar,1,Great Room,1,"Full, Not Finished, Walk Out",1,"Stone Trim, Wood Siding",Traditional,Composition,"Adjoin Greenspace, City Limits, City Lot",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"1218 High Ridge Court Raymore, MO 64083",369900,2180530,Cass,Raymore,Creekmoor - High Point at,Single Family,2 Stories,4,3,1,2014,2452,Builder,850,Other,1,Raymore-Peculiar,1,"Gas, Great Room",1,"Finished, Stubbed for Bath, Walk Out",1,"Board/Batten, Stone & Frame",Traditional,Composition,"Adjoin Greenspace, Cul-De-Sac",0,0,1,Heatpump/Gas,"Central Electric, Heat Pump",City/Public,City/Public,
"307 W Plum Street Raymore, MO 64083",370000,2231562,Cass,Raymore,Raymore,Single Family,Ranch,4,3,0,2015,1915,Owner,1298,Owner,3,Raymore-Peculiar,1,Living Room,1,"Finished, Full, Inside Entrance",1,Frame,Traditional,Composition,"City Limits, City Lot, Corner Lot",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"23207 S Shaffer Road Harrisonville, MO 64701",370000,2208997,Cass,Harrisonville,Shaffer Estates,Single Family,1.5 Stories,5,2,1,2003,3900,Owner,0,Owner,7,Harrisonville,1,"Family Room, Wood Burning",1,"Concrete, Full, Inside Entrance",1,Wood Siding,Traditional,Composition,"Acreage, Corner Lot, Level, Spring(s)",0,-1,1,"Heat Pump, Zoned","Heat Pump, Zoned",City/Public,"Lagoon, Septic",
"24310 Meadow Brooke Lane Cleveland, MO 64734",370000,2170919,Cass,Cleveland,Meadow Brooke Estates,Single Family,Reverse 1.5 Story,3,2,1,1999,1717,Public Record,1400,Owner,3.5,Cass-Midway,1,"Electric, Great Room",1,"Finished, Inside Entrance, Walk Out",1,"Frame, Stucco",Traditional,Composition,"Acreage, Cul-De-Sac, Pond(s), Treed",0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"1617 Grandshire Drive Raymore, MO 64083",370800,2179631,Cass,Raymore,Creekmoor - Cunningham,Single Family,Ranch,2,2,0,2019,1643,Builder,0,Builder,0.22550505050505,Raymore-Peculiar,1,Great Room,1,"Concrete, Full, Not Finished",1,"Lap, Stone Trim",Traditional,Composition,Treed,0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"16016 Kentucky Road Belton, MO 64012",372500,2180134,Cass,Belton,Other,Single Family,1.5 Stories,4,3,1,1986,2935,Public Record,400,Agent,10,Belton,1,"Gas, Great Room",1,"Finished, Partial, Walk Out",1,"Brick Trim, Vinyl Siding",Traditional,Composition,,0,1,1,Propane Gas,Central Electric,City/Public,Septic,
"21609 S State Route 291 Highway Harrisonville, MO 64701",373000,2186687,Cass,Harrisonville,Other,Single Family,1.5 Stories,3,2,0,1898,2017,Owner,0,Public Record,4.4,Raymore-Peculiar,0,,0,"Cellar, Crawl Space",1,Metal Siding,Traditional,Composition,Acreage,0,-1,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,
"1528 SW Fairfax Road Lee's Summit, MO 64083",373665,2188762,Cass,Lees Summit,Kensington Farms,Single Family,2 Stories,5,4,0,1990,2932,Builder,0,Builder,0.186202938475666,Raymore-Peculiar,0,,1,"Concrete, Full, Stubbed for Bath",1,"Board/Batten, Frame",Traditional,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public - Verify,City/Public,
"20917 Larkspur Drive Peculiar, MO 64078",374000,2155037,Cass,Peculiar,Olive Branch,Single Family,Reverse 1.5 Story,4,3,0,2017,1615,Builder,1056,Builder,0.220385674931129,Raymore-Peculiar,1,"Gas, Great Room",1,"Daylight, Finished, Full",1,Stone Trim,Traditional,Composition,"Cul-De-Sac, Level",0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"1613 March Lane Drive Raymore, MO 64083",374375,2159771,Cass,Raymore,Creekmoor - Cunningham,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1504,Builder,927,Builder,0.272589531680441,Raymore-Peculiar,1,"Gas, Great Room",1,"Finished, Walk Out",1,"Lap, Stucco",Traditional,Composition,City Lot,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"1220 High Ridge Court Raymore, MO 64083",374500,2146991,Cass,Raymore,Creekmoor - High Point at,Single Family,2 Stories,4,3,1,2013,2284,Agent,0,,0.56,Raymore-Peculiar,1,"Great Room, See Through",1,Not Finished,1,"Stone Trim, Stucco & Frame",Traditional,Composition,"Adjoin Greenspace, City Lot, Cul-De-Sac",0,0,1,"Forced Air Gas, Heat Pump",Central Electric,City/Public,City/Public,
"1905 Prairie Clover Road Greenwood, MO 64034",375000,2227180,Cass,Greenwood,Allendale Lake Meadows,Single Family,2 Stories,4,4,1,2013,1901,Public Record,640,Public Record,0.22979797979798,Lees Summit,1,"Gas, Great Room",1,"Finished, Walk Out",1,"Lap, Stone Trim",Traditional,Composition,Cul-De-Sac,0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"5004 E 202nd Street Belton, MO 64012",375000,2222624,Cass,Belton,Meadows,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,1979,2962,Public Record,2962,Public Record,2.65,Belton,1,"Basement, Family Room, Master Bedroom",1,"Finished, Full, Garage Entrance",1,Frame,Spanish,Composition,"Acreage, Cul-De-Sac",0,0,1,Central Electric,Central Electric,City/Public,Septic,
"1505 Sugarland Parkway Pleasant Hill, MO 64080",375000,2231349,Cass,Pleasant Hill,Sugarland Estates,Single Family,1.5 Stories,4,3,1,1994,3000,Public Record,1330,Public Record,0.763636363636364,Pleasant Hill,1,"Basement, Living Room",1,"Partial, Walk Out",1,Brick & Frame,Traditional,Composition,Estate Lot,0,0,1,Forced Air Gas,Central Electric,City/Public,Aeration,
"703 Wright Street Pleasant Hill, MO 64080",375000,2221464,Cass,Pleasant Hill,Tall Grass,Single Family,Raised Ranch,4,2,1,2007,1642,Public Record,1642,Public Record,0.584,Pleasant Hill,1,"Gas Starter, Living Room",1,"Finished, Full, Walk Out",1,"Stone Trim, Stucco",Traditional,Composition,"City Limits, Lake Front",0,1,1,"Heat Pump, Natural Gas",Central Electric,City/Public,City/Public,
"1014 Bellflower Lane Greenwood, MO 64034",375000,2176407,Cass,Greenwood,Allendale Lake Meadows,Single Family,2 Stories,4,4,1,2014,2514,Public Record,1105,Public Record,0.208333333333333,Lees Summit,1,"Gas, Great Room",1,"Concrete, Finished, Walk Out",1,"Frame, Stone Trim",Traditional,Composition,"Corner Lot, Treed",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"1129 SW Cheshire Drive Lee's Summit, MO 64083",375000,2158360,Cass,Lees Summit,Kensington Farms,Single Family,Reverse 1.5 Story,4,3,0,2019,1576,Builder,1060,Builder,0.250321395775941,Raymore-Peculiar,1,,1,Finished,1,Stone Veneer,Traditional,Composition,Corner Lot,0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"1006 Bellflower Lane Greenwood, MO 64034",375000,2219789,Cass,Greenwood,Allendale Lake Meadows,Single Family,2 Stories,4,2,1,2012,2500,Owner,0,Owner,0.230716253443526,Lees Summit,1,"Gas, Great Room",1,"Concrete, Walk Out",1,"Frame, Stone Trim",Traditional,Composition,"Adjoin Greenspace, City Lot",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"26405 S Coble Road Freeman, MO 64746",375000,2198467,Cass,Freeman,Other,Single Family,1.5 Stories,4,3,1,1997,1774,Public Record,968,Public Record,15,Cass-Midway,1,"Basement, Electric, Gas, Great Room",1,"Finished, Full, Walk Out",1,"Board/Batten, Frame",Traditional,Composition,"Acreage, Treed",0,-1,1,Forced Air Electric,Central Electric,Rural,Septic,
"2004 Redwood Circle Pleasant Hill, MO 64080",375000,2218679,Cass,Pleasant Hill,Hickory Hills,Single Family,Ranch,5,4,1,2006,2305,Public Record,868,Public Record,0.99,Pleasant Hill,1,"Gas Starter, Living Room",1,"Finished, Full, Walk Out",1,Frame,Traditional,Composition,"City Limits, Cul-De-Sac, Treed, Wooded",0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"800 Buckeye Lane Pleasant Hill, MO 64080",376000,2218439,Cass,Pleasant Hill,Hickory Hills,Single Family,"Ranch, Reverse 1.5 Story",4,3,1,2012,1782,Public Record,1600,Agent,3.04035812672176,Pleasant Hill,1,"Heat Circulator, Gas, Great Room",1,"Finished, Inside Entrance, Walk Out",1,"Lap, Stone Trim",Other,Composition,"Acreage, Adjoin Greenspace, City Limits, Wooded",0,0,1,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"25115 S John Road Harrisonville, MO 64701",378000,2182804,Cass,Harrisonville,Lake Estates,Single Family,1.5 Stories,3,2,1,1992,1170,Public Record,819,Public Record,4,Harrisonville,1,Basement,0,"Finished, Full, Walk Out",1,Frame,Traditional,Composition,"Acreage, Cul-De-Sac, Lake Front, Treed",0,0,1,Central Electric,Central Electric,City/Public,Septic,
"1802 Verbena Avenue Greenwood, MO 64034",378225,2205096,Cass,Greenwood,Allendale Lake Meadows,Single Family,2 Stories,4,3,1,2020,2200,Builder,0,Other,0.55,Lees Summit,1,Living Room,1,Not Finished,1,"Lap, Stone & Frame",Traditional,Composition,"City Lot, Corner Lot",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"1203 Clendenen Street Raymore, MO 64083",378900,2168034,Cass,Raymore,Meadowbrook Acres,Single Family,2 Stories,4,3,1,1995,3124,Public Record,165,Agent,3,Raymore-Peculiar,1,"Family Room, Gas",1,"Finished, Full",1,"Brick Trim, Frame",Traditional,Composition,Acreage,0,0,1,Heat Pump,"2 or More, Central Electric",City/Public,Septic,
"832 Switchgrass Court Raymore, MO 64083",379000,2183624,Cass,Raymore,Meadowood of the Good Ranch,Single Family,"Ranch, Reverse 1.5 Story",3,2,1,2019,1590,Plans,1146,Plans,0.313636363636364,Raymore-Peculiar,1,"Gas, Great Room",1,"Concrete, Daylight, Full",1,"Stone Veneer, Stucco & Frame",Traditional,Composition,"Cul-De-Sac, Level",0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"1800 Buffalo Grass Drive Raymore, MO 64083",379900,2204094,Cass,Raymore,Meadowood of the Good Ranch,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2020,1566,Plans,752,Plans,0.265840220385675,Raymore-Peculiar,1,"Gas, Great Room",1,"Daylight, Finished, Full",1,"Stone Trim, Wood Siding",Traditional,Composition,"Adjoin Greenspace, City Lot, Wooded",0,1,1,Central Gas,Central Electric,City/Public,"City/Public, Grinder Pump",
"24011 S State Line Road Cleveland, MO 64734",380000,2221262,Cass,Cleveland,Hunters Valley,Single Family,2 Stories,3,2,1,1992,2392,Agent,0,Agent,10,Cass-Midway,1,Hearth Room,1,"Full, Not Finished, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,"Acreage, Treed",0,0,1,Central Electric,Central Electric,City/Public,Lagoon,
"1556 Brompton Lane Raymore, MO 64083",380000,2185518,Cass,Raymore,Creekmoor- Westbrook at,Single Family,"Ranch, Reverse 1.5 Story",4,3,1,2006,1815,Public Record,1815,Public Record,0.28578971533517,Raymore-Peculiar,1,"Gas, Gas Starter, Hearth Room, Insert",1,"Finished, Full, Walk Out",1,Stucco & Frame,Traditional,Composition,"Adjoin Greenspace, Level, Treed",0,0,1,"Central Electric, Heat Pump",Central Electric,City/Public,City/Public,
"609 Campbell Street Pleasant Hill, MO 64080",380000,2210742,Cass,Pleasant Hill,Lakeside at Loch Leanard,Single Family,"Ranch, Reverse 1.5 Story",5,3,0,2019,1750,Plans,1000,Plans,0.427433425160698,Pleasant Hill,1,"Gas, Great Room",1,"Finished, Full, Walk Out",1,"Lap, Stone Trim",Traditional,Composition,"City Limits, City Lot",0,1,1,"Central Electric, Heat Pump",Central Electric,City/Public,"City/Public, Other",
"906 Wright Street Pleasant Hill, MO 64080",380429,2158214,Cass,Pleasant Hill,Tall Grass,Single Family,Ranch,3,2,0,2019,1575,Plans,0,Plans,0.385123966942149,Pleasant Hill,1,,1,"Full, Not Finished",1,"Stone & Frame, Stucco",,Composition,,0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"1520 Grandshire Drive Raymore, MO 64083",381055,2199324,Cass,Raymore,Creekmoor - Cunningham,Single Family,2 Stories,4,3,0,2019,2527,Builder,0,Builder,0.2044536271809,Raymore-Peculiar,1,Great Room,1,"Egress Window, Full, Stubbed for Bath",1,Wood Siding,Traditional,Composition,"City Limits, Level",0,1,1,"Central Electric, Forced Air Gas",Central Electric,City/Public,City/Public,
"504 Bentwater Drive Raymore, MO 64083",381095,2188910,Cass,Raymore,Creekmoor - Cunningham,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1653,Builder,799,Builder,0.297497704315886,Raymore-Peculiar,1,Great Room,1,"Daylight, Finished",1,"Lap, Stone Trim",Traditional,Composition,"City Limits, City Lot, Treed, Wooded",0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"20917 Larkspur Drive Peculiar, MO 64078",381900,2220052,Cass,Peculiar,Olive Branch,Single Family,Reverse 1.5 Story,4,3,0,2017,1615,Builder,1056,Builder,0.220385674931129,Raymore-Peculiar,1,"Gas, Great Room",1,"Daylight, Finished, Full",1,Stone Trim,Traditional,Composition,"Cul-De-Sac, Level",0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"1006 Wesley Avenue Raymore, MO 64083",382000,2171672,Cass,Raymore,Jwedea,Single Family,Split Entry,4,3,1,1997,2115,Appraisal,382,Appraisal,4.5,Raymore-Peculiar,1,Great Room,1,"Finished, Walk Out",1,Wood Siding,Traditional,Composition,,0,0,1,Central Electric,Central Electric,City/Public,"Lagoon, Septic",
"1212 Becket Court Raymore, MO 64083",382500,2153189,Cass,Raymore,Creekmoor - High Point at,Single Family,1.5 Stories,5,4,0,2015,2601,Public Record,0,Public Record,0.286501377410468,Raymore-Peculiar,1,"Gas, Great Room",1,"Concrete, Daylight, Full",1,Stone & Frame,Traditional,Composition,"Cul-De-Sac, Level",0,1,1,Heatpump/Gas,"Central Electric, Heat Pump",City/Public,City/Public,
"22103 S Walnut Bluff Road Pleasant Hill, MO 64080",383000,2164568,Cass,Pleasant Hill,Walnut Bluff Estates,Single Family,"Ranch, Reverse 1.5 Story",3,3,1,2006,2259,Public Record,1200,Public Record,4.01999540863177,East Lynne,0,,1,"Concrete, Finished, Walk Out",1,Vinyl Siding,Traditional,Composition,"Acreage, Level, Treed",0,0,1,Central Electric,Central Electric,Rural,Septic,
"1450 Brompton Lane Raymore, MO 64083",385000,2232657,Cass,Raymore,Creekmoor- Westbrook Villas at,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2007,1634,RPR,1037,RPR,0.213797061524334,Raymore-Peculiar,1,Gas,1,"Finished, Full, Walk Out",1,Frame,Traditional,Composition,,0,0,1,"Central Gas, Forced Air Gas",Central Electric,City/Public,City/Public,
